blender_r   ,0.03342665748083435,  0.03503609415254231 
bwaves_r    ,0.059984628599846226, 0.059982094897045625
deepsjeng_r ,0.039966978408064784, 0.04475091471995489 
exchange2_r ,0.024527753971682904, 0.03514132745638894 
gcc_r       ,0.04324929725931132,  0.04182945676902833 
leela_r     ,0.03663067676713946,  0.04643016276095913 
mcf_r       ,0.03516833869897628,  0.03891725356172652 
omnetpp_r   ,0.03235996273436586,  0.035997230421631866
perlbench_r ,0.03948746548417368,  0.04136063945319132 
x264_r      ,0.026625229868768828, 0.029852713433721006
xalancbmk_r ,0.03172349693846815,  0.032055275817340634
xz_r        ,0.04393840875447887,  0.05083884087442811 
lbm_r       ,0.002086824001073777, 0.018642871677642055
namd_r      ,0.003826927744368143, 0.022145187901907126
cam4_r      ,0.021362941923267178, 0.022834764271727658
