blender_r,-0.0001,0.2118,0.7831
bwaves_r,0.0000,0.9743,0.5641
deepsjeng_r,0.0009,0.3306,0.5769
exchange2_r,0.0001,0.1288,0.5431
gcc_r,-0.0002,0.4465,0.5695
leela_r,-0.0002,0.3439,0.5411
mcf_r,0.0002,0.2985,0.5558
omnetpp_r,0.0003,0.4648,0.6067
perlbench_r,0.0015,0.3972,0.5780
x264_r,-0.0001,0.2652,0.3578
xalancbmk_r,-0.0002,0.3337,0.7803
xz_r,-0.0001,0.3006,0.7098
namd_r,0.0000,0.0989,0.1160
