blender_r,0.00024,0.2292,0.7911
blender_r,0.00327,0.2553,0.8804
blender_r,0.00000,0.2392,0.8315
blender_r,-0.00244,0.2359,0.8943
blender_r,-0.00136,0.2391,0.8121
bwaves_r,0.00000,0.9743,0.5641
bwaves_r,0.00000,0.9743,0.5641
bwaves_r,0.00000,0.9743,0.5641
deepsjeng_r,-0.00074,0.3864,0.6318
deepsjeng_r,-0.00297,0.3846,0.6227
deepsjeng_r,-0.00050,0.4162,0.6273
deepsjeng_r,0.00085,0.3843,0.6237
deepsjeng_r,0.00428,0.3944,0.6417
exchange2_r,0.00058,0.2706,0.6803
exchange2_r,-0.00000,0.3125,0.7418
exchange2_r,0.00015,0.2983,0.7220
exchange2_r,-0.00000,0.3354,0.7783
exchange2_r,0.00151,0.2764,0.7104
gcc_r,0.00116,0.3967,0.6123
gcc_r,-0.00207,0.3943,0.5616
gcc_r,0.00010,0.6035,0.5985
gcc_r,0.00003,0.4387,0.5713
leela_r,0.00088,0.4195,0.6252
leela_r,-0.00048,0.4532,0.6464
leela_r,-0.00101,0.4430,0.6429
leela_r,0.00046,0.4099,0.6282
mcf_r,-0.00048,0.3231,0.5226
mcf_r,0.00000,0.2961,0.5953
mcf_r,0.00000,0.4085,0.7603
mcf_r,0.00064,0.3131,0.5742
mcf_r,-0.00010,0.2635,0.5566
omnetpp_r,0.00016,0.5027,0.6533
omnetpp_r,-0.00127,0.5052,0.6377
omnetpp_r,0.00173,0.5041,0.6350
omnetpp_r,-0.00175,0.5025,0.6321
perlbench_r,0.00194,0.4164,0.6224
perlbench_r,-0.00058,0.4286,0.5944
x264_r,0.00001,0.2678,0.5201
x264_r,0.00000,0.6707,0.8269
x264_r,0.00023,0.3378,0.5236
x264_r,0.00000,0.4978,0.6272
xalancbmk_r,0.00000,0.1722,0.9524
xalancbmk_r,0.00054,0.3490,0.8744
xalancbmk_r,-0.00073,0.4083,0.7326
xalancbmk_r,0.00001,0.4167,0.7613
xalancbmk_r,-0.00103,0.4088,0.7002
xz_r,-0.00085,0.3457,0.8120
xz_r,0.00165,0.3316,0.8161
xz_r,0.00003,0.4735,0.8963
xz_r,0.00053,0.3349,0.8165
xz_r,0.00243,0.3332,0.8151
lbm_r,0.00000,0.4294,0.4543
lbm_r,0.00000,0.4294,0.4542
lbm_r,0.00000,0.4378,0.4669
lbm_r,0.00000,0.4283,0.4548
namd_r,0.00000,0.4724,0.5645
namd_r,0.00000,0.7008,0.7967
namd_r,0.00000,0.6787,0.7770
namd_r,0.00000,0.6739,0.7563
cam4_r,-0.00151,0.2803,0.5508
cam4_r,0.00131,0.3201,0.4765
cam4_r,0.00000,0.2401,0.2934
cam4_r,0.00054,0.2805,0.5281
